divid	dsid	district
BRSL	4	BARGUNA
BRSL	42	JHALOKATI
BRSL	6	BARISAL
BRSL	78	PATUAKHALI
BRSL	79	PIROJPUR
BRSL	9	BHOLA
CHTG	12	BRAHMANBARIA
CHTG	13	CHANDPUR
CHTG	15	CHITTAGONG
CHTG	19	COMILLA
CHTG	22	COX'S BAZAR
CHTG	3	BANDARBAN
CHTG	30	FENI
CHTG	46	KHAGRACHHARI
CHTG	51	LAKSHMIPUR
CHTG	75	NOAKHALI
CHTG	84	RANGAMATI
DHAK	26	DHAKA
DHAK	29	FARIDPUR
DHAK	33	GAZIPUR
DHAK	35	GOPALGANJ
DHAK	39	JAMALPUR
DHAK	48	KISHOREGANJ
DHAK	54	MADARIPUR
DHAK	56	MANIKGANJ
DHAK	59	MUNSHIGANJ
DHAK	61	MYMENSINGH
DHAK	67	NARAYANGANJ
DHAK	68	NARSINGDI
DHAK	72	NETROKONA
DHAK	82	RAJBARI
DHAK	86	SHARIATPUR
DHAK	89	SHERPUR
DHAK	93	TANGAIL
KHLN	1	BAGERHAT
KHLN	18	CHUADANGA
KHLN	41	JESSORE
KHLN	44	JHENAIDAH
KHLN	47	KHULNA
KHLN	50	KUSHTIA
KHLN	55	MAGURA
KHLN	57	MEHERPUR
KHLN	65	NARAIL
KHLN	87	SATKHIRA
RAJH	10	BOGRA
RAJH	38	JOYPURHAT
RAJH	64	NAOGAON
RAJH	69	NATORE
RAJH	76	PABNA
RAJH	81	RAJSHAHI
RAJH	88	SIRAJGANJ
RAJH	DSID000002	Chapainababganj
RGPR	27	DINAJPUR
RGPR	32	GAIBANDHA
RGPR	49	KURIGRAM
RGPR	52	LALMONIRHAT
RGPR	73	NILPHAMARI
RGPR	77	PANCHAGARH
RGPR	85	RANGPUR
RGPR	94	THAKURGAON
SYLT	36	HABIGANJ
SYLT	58	MAULVIBAZAR
SYLT	90	SUNAMGANJ
SYLT	91	SYLHET
