disid	uid	upazilla
1	108	BAGERHAT SADAR
1	114	CHITALMARI
1	134	FAKIRHAT
1	138	KACHUA
1	156	MOLLAHAT
1	158	MONGLA
1	160	MORRELGANJ
1	173	RAMPAL
1	177	SARANKHOLA
10	1006	ADAMDIGHI
10	1020	BOGRA SADAR
10	1027	DHUNAT
10	1033	DHUPCHANCHIA
10	1040	GABTALI
10	1054	KAHALOO
10	1067	NANDIGRAM
10	1081	SARIAKANDI
10	UID000034	SHAHJAHANPUR
10	1088	SHERPUR
10	1094	SHIBGANJ
10	1095	SONATOLA
12	1202	AKHAURA
12	UID000021	ASUGONJ
12	1204	BANCHHARAMPUR
12	UID000030	BIJOYNAGAR
12	1213	BRAHMANBARIA SADAR
12	1263	KASBA
12	1285	NABINAGAR
12	1290	NASIRNAGAR
12	1294	SARAIL
13	1322	CHANDPUR SADAR
13	1345	FARIDGANJ
13	1347	HAIM CHAR
13	1349	HAJIGANJ
13	1358	KACHUA
13	1376	MATLAB
13	UID000032	MATLAB NORTH
13	UID000031	MATLAB SOUTH
13	1395	SHAHRASTI
15	1504	ANOWARA
15	UID000017	Baizid
15	1508	BANSHKHALI
15	1512	BOALKHALI
15	1518	CHANDANAISH
15	1519	CHANDGAON
15	1520	CHITTAGONG PORT
15	1528	DOUBLE MOORING
15	1533	FATIKCHHARI
15	UID000019	HALISHAHAR
15	1537	HATHAZARI
15	UID000009	KARNAFULI
15	UID000018	Khulshi
15	1541	KOTWALI
15	1547	LOHAGARA
15	1553	MIRSHARAI
15	1555	PAHARTALI
15	1557	PANCHLAISH
15	1561	PATIYA
15	1570	RANGUNIA
15	1574	RAOZAN
15	1578	SANDWIP
15	1582	SATKANIA
15	1586	SITAKUNDA
18	1807	ALAMDANGA
18	1823	CHUADANGA SADAR
18	1831	DAMURHUDA
18	1855	JIBAN NAGAR
19	1909	BARURA
19	1915	BRAHMAN PARA
19	1918	BURICHANG
19	1927	CHANDINA
19	1931	CHAUDDAGRAM
19	UID000026	CHOTRA
19	1967	COMILLA SADAR (KOTWALI)
19	1936	DAUDKANDI
